Model,R2_Score,RMSE,MAE,CV_Mean,CV_Std
Linear Regression,0.9501109615181051,1883.2740973603848,1426.3397820275472,0.9435718192343374,0.005565115586975403
Ridge Regression,0.9496511046136706,1891.9338157530249,1429.2658552574526,0.9436343690067321,0.0053295966630841326
Random Forest,0.9354785870631062,2141.7210288606734,1584.378749998832,0.9233535517683892,0.01847023352902724
Gradient Boosting,0.9373406457611975,2110.5902308710156,1524.4811715568326,0.9209616296347439,0.02632535002656646
XGBoost,0.9166396550240862,2434.393153004102,1678.516512524332,0.9094101865704062,0.014430005627419576
LightGBM,0.9237432004832256,2328.360662339694,1714.860783925823,0.9163789946121348,0.015540961323845788
